model,fold,macro_f1,precision_Decline,precision_Stable,precision_Growth,recall_Decline,recall_Stable,recall_Growth,f1_Decline,f1_Stable,f1_Growth,combo_id,start_year,start_month,window_months,target_offset,n_stores
rf,1,0.49357898112181003,0.21794871794871795,0.5874094202898551,0.6431690580162196,0.43174603174603177,0.49769762087490405,0.6615335258261148,0.2896698615548456,0.5388450353136685,0.6522220464969161,sy2021_sm01_w3m_off2,2021,1,3,2,30190
rf,2,0.5044842749049099,0.2344582593250444,0.5944024877832075,0.6510545905707196,0.4177215189873418,0.5136276391554703,0.673403914019891,0.3003412969283277,0.5510708401976936,0.6620406875887084,sy2021_sm01_w3m_off2,2021,1,3,2,30190
rf,3,0.48443416357042013,0.21915584415584416,0.5719016083254493,0.6324062877871826,0.4272151898734177,0.4641074856046065,0.6711581649021495,0.28969957081545067,0.512396694214876,0.6512062256809339,sy2021_sm01_w3m_off2,2021,1,3,2,30190
rf,4,0.5032701983153913,0.22473604826546004,0.6013921113689095,0.6503105590062112,0.47151898734177217,0.49750479846449136,0.6717998075072185,0.30439223697650664,0.5445378151260504,0.6608805428436169,sy2021_sm01_w3m_off2,2021,1,3,2,30190
lgb,0,0.5094138800930997,0.2448512585812357,0.5948275862068966,0.6638230647709321,0.3396825396825397,0.5560245587106677,0.6740455566249599,0.2845744680851064,0.5747719159063863,0.6688952562878064,sy2021_sm01_w3m_off2,2021,1,3,2,30190
lgb,1,0.5084900810707397,0.2562929061784897,0.5869565217391305,0.6553904521024344,0.35555555555555557,0.5491174213353799,0.6650625601539942,0.2978723404255319,0.5674068199841396,0.6601910828025478,sy2021_sm01_w3m_off2,2021,1,3,2,30190
lgb,2,0.5128311302150378,0.2632850241545894,0.5887775551102205,0.6625119846596357,0.3449367088607595,0.5639155470249521,0.6650625601539942,0.29863013698630136,0.576078431372549,0.6637848222862632,sy2021_sm01_w3m_off2,2021,1,3,2,30190
lgb,3,0.49846251954708326,0.23708920187793428,0.5842368640533778,0.6530802738021158,0.31962025316455694,0.5378119001919386,0.673403914019891,0.2722371967654987,0.5600639616230262,0.6630864002527247,sy2021_sm01_w3m_off2,2021,1,3,2,30190
lgb,4,0.5144442771423344,0.2577777777777778,0.5932134096484055,0.6632718014003819,0.3670886075949367,0.5570057581573896,0.6685915944818736,0.3028720626631854,0.5745396951098792,0.6659210736539384,sy2021_sm01_w3m_off2,2021,1,3,2,30190
rf,0,0.47409310255859616,0.30906058921623125,0.6941556113302259,0.42158760890609875,0.4433811802232855,0.5292509568069984,0.5,0.3642319030461841,0.600589421436327,0.4574579831932773,sy2021_sm02_w1m_off1,2021,2,1,1,33267
